titre,score,genre,année,durée,description,acteurs,pays
The Shawshank Redemption,9.3,Drama,1994,2h 22m,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Tim Robbins,Morgan Freeman,Bob Gunton",United States
Interstellar,8.7,Adventure,2014,2h 49m,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Matthew McConaughey,Anne Hathaway,Jessica Chastain",United States
Seven Samurai,8.6,Action,1954,3h 27m,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Toshirô Mifune,Takashi Shimura,Keiko Tsushima",Japan
Goodfellas,8.7,Biography,1990,2h 25m,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Robert De Niro,Ray Liotta,Joe Pesci",United States
Se7en,8.6,Crime,1995,2h 7m,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Morgan Freeman,Brad Pitt,Kevin Spacey",United States
It's a Wonderful Life,8.6,Drama,1946,2h 10m,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"James Stewart,Donna Reed,Lionel Barrymore",United States
The Matrix,8.7,Action,1999,2h 16m,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",United States
The Silence of the Lambs,8.6,Crime,1991,1h 58m,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Jodie Foster,Anthony Hopkins,Scott Glenn",United States
Saving Private Ryan,8.6,Drama,1998,2h 49m,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Tom Hanks,Matt Damon,Tom Sizemore",United States
One Flew Over the Cuckoo's Nest,8.7,Drama,1975,2h 13m,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","Jack Nicholson,Louise Fletcher,Michael Berryman",United States
Star Wars: Episode V - The Empire Strikes Back,8.7,Action,1980,2h 4m,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Mark Hamill,Harrison Ford,Carrie Fisher",United States
Dune: Part Two,8.8,Action,2024,2h 46m,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"Timothée Chalamet,Zendaya,Rebecca Ferguson",United States
Fight Club,8.8,Drama,1999,2h 19m,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Brad Pitt,Edward Norton,Meat Loaf",Germany
Gangs of Wasseypur,8.2,Action,2012,5h 21m,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia",India
The Lord of the Rings: The Two Towers,8.8,Action,2002,2h 59m,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Elijah Wood,Ian McKellen,Viggo Mortensen",New Zealand
Dances with Wolves,8.0,Adventure,1990,3h 1m,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Kevin Costner,Mary McDonnell,Graham Greene",United States
Inception,8.8,Action,2010,2h 28m,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",United States
Forrest Gump,8.8,Drama,1994,2h 22m,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Tom Hanks,Robin Wright,Gary Sinise",United States
It Happened One Night,8.1,Comedy,1934,1h 45m,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Clark Gable,Claudette Colbert,Walter Connolly",United States
The Help,8.1,Drama,2011,2h 26m,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","Viola Davis,Emma Stone,Octavia Spencer",United States
Cool Hand Luke,8.1,Crime,1967,2h 7m,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Paul Newman,George Kennedy,Strother Martin",United States
The Iron Giant,8.1,Animation,1999,1h 26m,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston",United States
Rebecca,8.1,Drama,1940,2h 10m,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Laurence Olivier,Joan Fontaine,George Sanders",United States
Amores Perros,8.1,Drama,2000,2h 34m,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.","Emilio Echevarría,Gael García Bernal,Goya Toledo",Mexico
Groundhog Day,8.0,Comedy,1993,1h 41m,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.","Bill Murray,Andie MacDowell,Chris Elliott",United States
Aladdin,8.0,Animation,1992,1h 30m,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Scott Weinger,Robin Williams,Linda Larkin",United States
The Grapes of Wrath,8.1,Drama,1940,2h 9m,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.","Henry Fonda,Jane Darwell,John Carradine",United States
The Battle of Algiers,8.1,Drama,1966,2h 1m,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Brahim Hadjadj,Jean Martin,Yacef Saadi",Italy
To Be or Not to Be,8.1,Comedy,1942,1h 39m,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Carole Lombard,Jack Benny,Robert Stack",United States
The Sound of Music,8.1,Biography,1965,2h 52m,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Julie Andrews,Christopher Plummer,Eleanor Parker",United States
The Handmaiden,8.1,Drama,2016,2h 25m,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Kim Min-hee,Ha Jung-woo,Cho Jin-woong",South Korea
Into the Wild,8.1,Adventure,2007,2h 28m,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters th...","Emile Hirsch,Vince Vaughn,Catherine Keener",United States
My Father and My Son,8.2,Drama,2005,1h 52m,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Çetin Tekindor,Fikret Kuskan,Hümeyra",Turkey
The Incredibles,8.0,Animation,2004,1h 55m,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Craig T. Nelson,Samuel L. Jackson,Holly Hunter",United States
Hachi: A Dog's Tale,8.1,Biography,2009,1h 33m,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.","Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",United Kingdom
Stand by Me,8.1,Adventure,1986,1h 29m,A writer recounts a childhood journey with his friends to find the body of a missing boy.,"Wil Wheaton,River Phoenix,Corey Feldman",United States
The Wizard of Oz,8.1,Adventure,1939,1h 42m,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Judy Garland,Frank Morgan,Ray Bolger",United States
Rush,8.1,Action,2013,2h 3m,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Daniel Brühl,Chris Hemsworth,Olivia Wilde",United Kingdom
Network,8.1,Drama,1976,2h 1m,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.","Faye Dunaway,William Holden,Peter Finch",United States
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,Action,2003,2h 23m,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Johnny Depp,Geoffrey Rush,Orlando Bloom",United States
The Exorcist,8.1,Horror,1973,2h 2m,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.","Ellen Burstyn,Max von Sydow,Linda Blair",United States
The Best Years of Our Lives,8.1,Drama,1946,2h 50m,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","Myrna Loy,Dana Andrews,Fredric March",United States
The Passion of Joan of Arc,8.1,Biography,1928,1h 54m,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Maria Falconetti,Eugene Silvain,André Berley",France
